# conc=2 threads=4 unique_prompt_per_rep n_predict=128 reps=5 cache=DISABLED
# date=2026-05-13T18:37:32-04:00
# rep ttft_ms tok_per_sec total_ms
1.1 5396.49 1.10 121694.72
1.2 5395.90 1.13 118398.05
2.1 3707.51 1.05 125936.86
2.2 4396.01 1.07 123710.34
3.1 6390.48 1.12 120472.48
3.2 6390.57 1.11 121386.41
4.1 6301.33 1.24 109596.59
4.2 6301.64 1.24 109596.74
5.1 326.39 1.04 122906.55
5.2 5373.05 1.09 122806.69
