# experiment=concurrency conc=2 threads=4 prompt_len=256 n_predict=128 reps=5
# date=2026-05-13T12:19:34-04:00
# rep ttft_ms tok_per_sec total_ms
1.1 792.82 18.75 7621.23
1.2 87.08 16.93 7648.03
2.1 60.18 17.76 7266.59
2.2 57.28 17.56 7347.88
3.1 52.21 14.58 8830.60
3.2 44.07 14.68 8760.65
4.1 69.86 14.25 9052.58
4.2 69.77 14.25 9052.24
5.1 107.01 14.99 8643.66
5.2 75.21 15.04 8587.62
# vmstat_ctxt=14189776
